Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
f.rnd,3,478,25.18974,268,24.53556,177,10x10,OPT,FALSE,equal,63.81,65.2
f.rnd,3,479,17.73278,268,17.84502,177,10x10,OPT,FALSE,equal,70.22,70.71
f.rnd,3,48,17.80748,268,18.04972,177,10x10,OPT,FALSE,equal,70.2,70.78
f.rnd,3,480,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.63,63.95
f.rnd,3,481,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.76,63.83
f.rnd,3,482,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.89,64.27
f.rnd,3,483,25.26126,268,23.91698,177,10x10,OPT,FALSE,equal,63.25,64.44
f.rnd,3,484,22.21791,268,22.48263,177,10x10,OPT,FALSE,equal,68.08,68.2
f.rnd,3,485,26.76233,268,25.94613,177,10x10,OPT,FALSE,equal,61.14,62.38
f.rnd,3,486,22.80802,268,22.08772,177,10x10,OPT,FALSE,equal,67.49,67.93
f.rnd,3,487,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,65.35,66.35
f.rnd,3,488,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.56,63.64
f.rnd,3,489,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,61.8,62.8
f.rnd,3,49,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.87,64.23
f.rnd,3,490,25.24437,268,24.01953,177,10x10,OPT,FALSE,equal,63.29,64.53
f.rnd,3,491,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,65.35,66.35
f.rnd,3,492,31.93349,268,31.55618,177,10x10,OPT,FALSE,equal,67.18,67.5
f.rnd,3,493,32.25806,268,32.14001,177,10x10,OPT,FALSE,equal,67.04,67.45
f.rnd,3,494,24.4092,268,23.97466,177,10x10,OPT,FALSE,equal,66.45,66.96
f.rnd,3,495,17.62209,268,18.06623,177,10x10,OPT,FALSE,equal,70.24,70.72
f.rnd,3,496,28.64087,268,28.75649,177,10x10,OPT,FALSE,equal,70.03,70.22
f.rnd,3,497,23.14134,268,22.72674,177,10x10,OPT,FALSE,equal,68.69,69.28
f.rnd,3,498,26.28511,268,25.41447,177,10x10,OPT,FALSE,equal,69.54,69.96
f.rnd,3,499,17.62209,268,18.06623,177,10x10,OPT,FALSE,equal,70.24,70.72
f.rnd,3,5,30.66136,268,31.09709,177,10x10,OPT,FALSE,equal,69.44,69.84
f.rnd,3,50,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,63,64.18
f.rnd,3,500,22.80802,268,22.08772,177,10x10,OPT,FALSE,equal,67.5,67.92
f.rnd,3,501,24.46776,268,24.02624,177,10x10,OPT,FALSE,equal,67.23,67.47
f.rnd,3,502,24.87169,268,23.84126,177,10x10,OPT,FALSE,equal,66.44,66.8
f.rnd,3,503,24.19867,268,23.9848,177,10x10,OPT,FALSE,equal,66.42,66.93
f.rnd,3,504,18.25181,268,19.1709,177,10x10,OPT,FALSE,equal,69.34,69.87
f.rnd,3,505,23.10048,268,22.71952,177,10x10,OPT,FALSE,equal,69.13,69.79
f.rnd,3,506,22.61579,268,22.00026,177,10x10,OPT,FALSE,equal,67.81,68.52
f.rnd,3,507,23.20728,268,22.77777,177,10x10,OPT,FALSE,equal,68.86,69.65
