Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
f.rnd,3,304,51.69129,268,50.4683,177,10x10,OPT,FALSE,wcs,69.44,69.73
f.rnd,3,305,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.85,63.61
f.rnd,3,306,32.7891,268,31.89836,177,10x10,OPT,FALSE,wcs,62.06,62.38
f.rnd,3,307,25.41808,268,24.13949,177,10x10,OPT,FALSE,wcs,61.37,62.12
f.rnd,3,308,20.68996,268,20.8321,177,10x10,OPT,FALSE,wcs,69.51,69.9
f.rnd,3,309,52.02434,268,50.24173,177,10x10,OPT,FALSE,wcs,64.85,65.9
f.rnd,3,31,23.55728,268,23.26654,177,10x10,OPT,FALSE,wcs,69.34,69.6
f.rnd,3,310,19.93593,268,20.03821,177,10x10,OPT,FALSE,wcs,70.03,70.6
f.rnd,3,311,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.5,63.46
f.rnd,3,312,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.5,63.18
f.rnd,3,313,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,62.29,63.51
f.rnd,3,314,24.49754,268,23.91201,177,10x10,OPT,FALSE,wcs,62.86,63.62
f.rnd,3,315,45.21343,268,42.87145,177,10x10,OPT,FALSE,wcs,68.21,68.48
f.rnd,3,316,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,61.49,62.55
f.rnd,3,317,22.81949,268,23.901,177,10x10,OPT,FALSE,wcs,68.05,68.29
f.rnd,3,318,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,65.05,65.66
f.rnd,3,319,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,60.89,61.76
f.rnd,3,32,42.88612,268,41.83408,177,10x10,OPT,FALSE,wcs,63.65,64.14
f.rnd,3,320,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,60.98,62.15
f.rnd,3,321,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,60.8,61.49
